事業所,事業所名 ,
5502,ＨＳ粉河店,
5503,ＨＳ福知山荒河店,
5504,ＨＳ上富田店,
5505,ＨＳ鵜殿店,
5506,ＨＳ印南店,
5507,ＨＳ白浜店,
5508,ＨＳ勝浦店,
5509,ＨＳ串本店,
5512,ＨＳ淡路東浦店,
5513,ＨＳ中山店,
5514,ＨＳ気高店,
5515,ＨＳ南部店,
5517,ＨＳ吉備店,
5518,ＨＳ詫間店,
5519,ＨＳ久万店,
5520,ＨＳ貞光店,
5521,ＨＳ美馬店,
5522,ＨＳ宮津店,
5523,ＨＳ広見店,
5524,ＨＳ宇和店,
5525,ＨＳ野村店,
5526,ＨＳかつらぎ店,
5527,ＨＳ夢前店,
5528,ＨＳ吉野店,
5529,ＨＳ窪川店,
5530,ＨＳ日和佐店,
5532,ＨＳ和田山店,
5533,ＨＳ徳島海南店,
5534,ＨＳ御荘店,
5536,ＨＳ五條二見店,
5537,ＨＳ土居店,
5538,ＨＳ山南店,
5539,ＨＳ山川店,
5540,ＨＳ津島店,
5542,ＨＳ大三島,
5543,ＨＳ中町店,
5544,ＨＳ中央店,
5545,ＨＳ東条店,
5546,ＨＳ浜坂店,
5547,ＨＳ室戸店,
5548,ＨＳ奈半利店,
5549,ＨＳ伯方店,
5550,ＨＳ松野店,
5551,ＨＳ秋穂店,
5552,ＨＳ土佐清水店,
5553,ＨＳ本宮店,
5554,ＨＳ宿毛店,
5556,ＨＳ芸西店,
5557,ＨＳ阿武店,
5558,ＨＳ美和店,
5560,ＨＳ黒潮店,
5561,ＨＳ阿波池田店,
5562,ＨＳ津和野店,
5563,ＨＳ瀬戸南店,
5564,ＨＳ宇和島店,
5566,ＨＳ土佐店,
6000,ドイト,
7161,田辺店,
7165,岩出店,
9000,新大阪本社,
9005,鳳事務所,
9008,ＥＣ運営業務チーム,
9040,京都流通センター,
9070,岡山流通センター,
9080,福岡流通センター,
9095,堺泉北ＤＣ,
9096,堺泉北ＤＣ（備品管理）,
9098,堺泉北ＤＣ（泉北加工所）,
9100,品質管理センター,
9190,御影リパックセンター,
9191,岡山流通センター,
9192,神戸西流通センター,
9194,貝塚流通センター,
9196,小牧流通センター,
9198,助松ＤＣ,
9199,助松流通センター,
9200,市川原木倉庫,
9291,なぎさ倉庫,
9292,横浜流通センター,
9293,広島流通ｾﾝﾀｰ,
9294,臨海町倉庫,
9297,新貝塚流通センター,
9299,なぎさプラント,
9300,関東事務所,
9350,関東リクルートセンター,
9370,ドイト花ノ木与野事務所,
9391,新相模原流通センター,
9394,川崎ベイ流通センター,
9400,津久野分室,
9500,金岡研修センター,
9520,新三田研修センター,
9550,リクルートセンター,
9600,岡山（牛窓）,
9700,泉南倉庫,
9718,ビーバートザン,
9734,堺什器倉庫,
9740,建デポ,
9800,コーナンベトナム,
9900,ｺｰﾅﾝﾕﾆｵﾝ,
9998,休職者,
9999,退職者,

